job_title,organization,location,job_description
Junior Sales Manager Job in San Diego,Advertising and PR Services;Staffing/Employment Agencies;Business Services - Other,"San Diego, CA 92123","The Job Window has an exciting opening for a Junior Sales Manager on behalf of our client, an in-field marketing company that represents Fortune 500 companies. Our client’s mission is to build connections between clients and their potential customer base by creating a standard of excellence, providing top notch service, and fostering growth through a rewarding and progressive environment. The growth of team members is our client’s highest priority. This firm is passionate about delivering quality and results. They value teamwork within their agency and strive for good partnerships across all platforms.Looking to use your skills with an industry leader? In our client’s training program, you can use those talents on a daily basis as you interact and conduct business with customers and business partners alike. You will also be taught how to lead a sales team, develop a plan to grow the business - all while honing your management, customer service and communication skills. You will have real responsibility from day one in all aspects of the business. And with our client’s performance-based promotions, you will have real opportunity as well. Join the company that’s ranked year-after-year as one of the “Best Places To Launch A Career"".How far can this firm take you? That depends. How far do you want to GO?As a Junior Sales Manager, you will learn valuable business skills from capable mentors who were once in your shoes. Nearly 100% of all our managers and corporate executives started out as management trainees and helped define their own career path that took them to where they are today. Day-to-day responsibilities include actively participating in everything from sales, marketing, and customer service to operations and finance. As you progress, you will be evaluated every step of the way. Upon successful completion of our award winning training program; you can expect rewards and the opportunity for continued promotions. Thanks to our entrepreneurial philosophy, there’s absolutely nothing holding you back. Your own initiative and capabilities, coupled with your ability to think on your feet and market effectively, will dictate how fast you advance.Responsibilities of the Junior Sales Manager:Assist the Senior Sales Manager with creating client-specific promotional campaigns to target their demographic, territory, and market.Coordinate promotional campaigns to identify new customers and clients.Complete transaction and administrative paperwork at on-site campaigns to initiate or update any consumer or client setups, changes, etc.Discover marketing and sales opportunities for revenue.Communicate face-to-face with customers at campaigns to promote products, provide service support, and establish proper channels of information and communication, and increase sales.Facilitate set-up and breakdown of events and maintain promotional materials.Perform product demonstrations, identify key product attributes, deliver in-depth product knowledge to customers, and educate customers on benefits of each product.RequirementsQualifications of the Junior Sales Manager Include:Degree or relevant experience in marketing, communications, advertising, sales, telecommunications, telesales, territory management, field sales, or brand promotions an asset.Understanding of marketing and sales fundamentals including product positioning, pricing, market research, and distribution preferred.Strong communications and interpersonal skills with a strong customer service focus.Strong work ethic and motivated attitudeSelf-motivated and focused on growth and success within a company.Able to work in a fast-paced sales environment independently and as a motivated team player.Local applicants only - we need to hire & train asap. Social security or valid permit is required as we are currently not offering sponsorships       Key Words: Sales, New Business, Lead Generation, Sales Commission, Regional Sales, Sales and Development, Business Development, Direct Sales, Account Manager, Direct Sales, Campaign Manager"
Field Service Engineer Job in Miami,Biotechnology/PharmaceuticalsManufacturing - OtherMedical Devices and Supplies,"Miami, FL 33101","Beckman Coulter Diagnostics Field Service Engineers provide outstanding customer service to clients while installing and maintaining diagnostic instrumentation and systems in hospital and stand-alone laboratory environments. The Field Service Engineer (FSE) is the face of Beckman Coulter to customers and the support they provide directly impacts patient health and overall well-being.  The FSE provides frontline support by resolving customers' problems and issues through technical expertise and troubleshooting.  The FSE has the opportunity to drive service revenue sales targets while ensuring strong customer contract retention rate and warranty conversion rate.  The FSE uses critical thinking to resolve issues within defined procedures and practices to determine appropriate action to rapidly repair instrumentation.  FSEs provide training to our customers and verify the operational performance and data quality of systems in order to contribute to our overall team success.   Many FSEs operate independently within their geographic territory, however Beckman Coulter offers a team based environment with opportunities to benchmark, mentor and receive expert technical support.  FSEs enjoy being home-based and being provided with a company car, iphone and laptop.  The FSE will also have the opportunity to travel within the region to support customers using their technical expertise. Valid driver’s license that meets Beckman Coulter’s safe driver standards.  Technical degree, professional experience or military electronics experience required.  Bachelor’s degree preferred. Effective communication and customer service skills. Ability to instill customer satisfaction that is recognizable and valuable to the customer. Bachelor’s Degree with one to two years previous experience."
Registered Nurse - ICU Full Time Days - Kindred Hospital Central Tampa Job in Tampa,Healthcare Services,"Registered Nurse - ICU Full Time Days - Kindred Hospital Central Tampa ( Job Number: 260592 ) Description IT'S SIMPLE. You want to work in a healthcare setting where you are valued and appreciated - where you receive respect from your superiors and co-workers as well as the patients/residents you treat. You want to be challenged by your job without being overwhelmed by it.  You want to play an instrumental role in helping a patient recover, sometimes against strong odds, and go home. What you want is Kindred Healthcare.  Our mission is to promote healing, provide hope, preserve dignity and produce value for each patient, resident, family member, customer, employee and shareholder we serve.  Join us! Registered Nurse / RN The Registered Nurse / RN provides planning and delivery of direct and indirect patient care through the nursing process of Assessment, Planning, Intervention, and Evaluation.  The Registered Nurse / RN develops nursing care plan in coordination with patient, family, and interdisciplinary staff as necessary. The RN / Registered Nurse will communicate changes in patient's clinical condition with Physicians, Nursing Supervisor/Manager, and co-workers as appropriate. the Registered Nurse / RN will also participate in discharge planning process. Registered Nurse / RN CareerBuilder Key Words: RN, R.N., Registered Nurse, Med Surg, Med Surge, Medical Surgical, Medical/Surgical, Med/Surg, Med/Surge, ICU, CC, CCU, Critical Care, telemetry, acute care, intensive care unit, post-acute, emergency room, E.R., ER, step down, transitional care, nurse, nursing Qualifications Registered Nurse / RN Requirements:   Education: Graduation from an accredited Bachelors of Science in Nursing as Registered Nurse / RN or Associate Degree in Nursing or Nursing Diploma program as a Registered Nurse / RN. Licenses/Certification: Current state licensure as Registered Nurse / RN. BCLS certification is required. ACLS preferred.   Experience: A Minimum six months as a Registered nurse / RN with Medical/Surgical experience in an acute care setting preferred. If you are a current Kindred/RehabCare employee . Job : RN Primary Location : FL-Tampa-Kindred Hospital - Central Tampa Organization : 4674 - Kindred Hospital - Central Tampa Shift : Day","Registered Nurse - ICU Full Time Days - Kindred Hospital Central Tampa ( Job Number: 260592 ) Description IT'S SIMPLE. You want to work in a healthcare setting where you are valued and appreciated - where you receive respect from your superiors and co-workers as well as the patients/residents you treat. You want to be challenged by your job without being overwhelmed by it.  You want to play an instrumental role in helping a patient recover, sometimes against strong odds, and go home. What you want is Kindred Healthcare.  Our mission is to promote healing, provide hope, preserve dignity and produce value for each patient, resident, family member, customer, employee and shareholder we serve.  Join us! Registered Nurse / RN The Registered Nurse / RN provides planning and delivery of direct and indirect patient care through the nursing process of Assessment, Planning, Intervention, and Evaluation.  The Registered Nurse / RN develops nursing care plan in coordination with patient, family, and interdisciplinary staff as necessary. The RN / Registered Nurse will communicate changes in patient's clinical condition with Physicians, Nursing Supervisor/Manager, and co-workers as appropriate. the Registered Nurse / RN will also participate in discharge planning process. Registered Nurse / RN CareerBuilder Key Words: RN, R.N., Registered Nurse, Med Surg, Med Surge, Medical Surgical, Medical/Surgical, Med/Surg, Med/Surge, ICU, CC, CCU, Critical Care, telemetry, acute care, intensive care unit, post-acute, emergency room, E.R., ER, step down, transitional care, nurse, nursing Qualifications Registered Nurse / RN Requirements:   Education: Graduation from an accredited Bachelors of Science in Nursing as Registered Nurse / RN or Associate Degree in Nursing or Nursing Diploma program as a Registered Nurse / RN. Licenses/Certification: Current state licensure as Registered Nurse / RN. BCLS certification is required. ACLS preferred.   Experience: A Minimum six months as a Registered nurse / RN with Medical/Surgical experience in an acute care setting preferred. If you are a current Kindred/RehabCare employee . Job : RN Primary Location : FL-Tampa-Kindred Hospital - Central Tampa Organization : 4674 - Kindred Hospital - Central Tampa Shift : Day"
Dairy Lead (Full TIme) Grandview Market District Job in Columbus,Food and Beverage Production,"Columbus, OH","Position Summary Provide leadership in the Dairy Department by directing and managing Team Members, ordering perishable and non-perishable products and supplies, and implementing merchandising initiatives to stimulate the growth of the business while meeting customer requirements and maximizing profits. Assist Grocery Manager supervise all Team Members in the Dairy Department. Job Responsibilities Actively support a culture of safety which includes, but is not limited to, food safety, Team Member safety and customer safety. Display a commitment to learn about food and share food knowledge with fellow team members and customers. Demonstrate a willingness to learn, understand, and communicate the Market District Passion for Food philosophy, which includes the willingness to taste and experience new product offerings. Actively demonstrate appropriate suggestive selling techniques.Provide active sampling opportunities, when appropriate. Conduct business, at all times, with a clear understanding that customer service is a significant point of difference for the Market District banner. Every interaction, whether with an internal or external customer, is to be conducted with the highest degree of integrity and with an understanding that the end result is to deliver service in an unparalleled manner. Actively participate in, and promote, an environment which embraces diversity, inclusion, and respect for Team Members, Customers, Vendors, and the Community. Provide leadership that promotes and exemplifies a Passion for Food. Manage inventories by tracking weekly reports and ordering raw materials and supplies to meet customer requirements and maximize profits. Prepare, maintain, and track records concerning inventory and work processes to calculate gross monthly profit according to Company policy. Develop and implement merchandising plans using guidelines and suggestions in order to meet the financial objectives of the department. Control department costs by monitoring and improving operations to increase profitability. Direct, oversee, and evaluate training provided by a trainer to department employees in order to reduce turnover, promote efficiency, and control labor costs. Maintain safe and clean environment to ensure health and OSHA requirements are met. Develop and maintain communication processes with other departments in order to develop marketing plans which help meet the financial objectives of the store.Analyze the Customer Satisfaction Index and Team Member Point of View Survey to identify areas needing improvement and develop processes and or procedures to address the issues.Maintain accurate department records to ensure documentation of activities is available.Ensure that proper procedures are being followed so that the store meets out of stock percentage goal.Promote continuous development of employees and identify candidates for management development process. Ability to understand and adhere to the Collective Bargaining Agreement.Perform duties of staff as required.Additional duties as assigned by management.Promote the continuous development of Team Members and identify candidates for MDP. Responsible for budget development, expense control and/or revenue generation for a department. Supervision of team members within an area or section of a department. Education and Training Required High school diploma or equivalent Education and Training Desired Associates Degree related field Bachelors Degree related field Experience Required 3 to 5 years Experience Desired Prior experience in grocery/dairy or related field Age Requirement At least 18 years of age Shift 1st Shift - 6a - 3p 2nd Shift - 2p - 10p Competencies Required Adaptability Customer Focused Gets Things Done Interpersonal Skills Problem Solving Respect for Self and Others Work Environment Cooler Freezer Dust Physical requirements Filing Bending Carrying Up to 50 pounds Climbing Data Entry Grasping Hearing (auditory) Lifting Up to 50 pounds Matching Operating Equipment Pulling Pushing Reading Reaching Repetitive Motion Sight or Peripheral Vision Sorting Standing Telephone Usage Twisting Typing Communication (verbal) Walking Writing Equipment Used Ice Machine Calculator Computer Copier Fax Machine Printer Telephone Cardboard Baler Carts Cash Register Compactor Crisping Sink Dumpster Electric/Manual Jacks Grinder Intercom Label Gun Ordering Machine Periscope Plastic Baler Power jacks Price Gun Receiving Gun Register Safety Cutter Scale Labeler Scale Shop Vacuum Shredder Shrink Wrapper Stanley Doors Steam Machine Telxon Trash compactor U-Boats WalkieTalkie Wrapper"
Assistant Restaurant Manager / Food & Beverage Supervisor Job in Manteca,Sports and Physical Recreation,"Manteca, CA 95337","Assistant Restaurant Manager/Director  Big League Dreams Sports Parks, the premier developer and operator of recreational sports complexes, has an opening for an Assistant Director of Food and Beverage at our Manteca, California location. We are seeking a dependable self starter with excellent communication and computer skills. This full time position requires the ability to work nights and weekends.Primary Duties and Responsibilities:* Manage/Supervise daily restaurant operations.* Deliver customer service that exceeds customer expectations.* Food and supply ordering.* New hire orientation.* Shift scheduling.* Staff management.Qualifications and Requirements:* Two or more years of experience with the above captioned duties and responsibilities.* Excellent communication, computer and written skills.Interested candidates should apply online through Monster. No phone calls please."
HEDIS Service Associate II Job in Atlanta,Healthcare Services,"Atlanta, GA",Our client is currently seeking a HEDIS Service Associate II. This job will have the following responsibilities:Making outbound call to providers office requesting medical  Navigating between two computer monitorsData entryQualifications & Requirements:High school diploma or equivalentHEDIS experience highly preferredMust be comfortable making  high volume outbound callsComfortable working with computer system (testing required)
VP of Human Resources - D&D Job in Las Vegas,"Electronics, Components, and Semiconductor Mfg","Las Vegas, NV 89119","Role Overview: We are looking for a pragmatic, adaptable and creative HR professional to join our Las Vegas team. Reporting to the CHRO, based in Sydney (HQ), you will work as part of a truly global team with your colleagues based in the US, London and India.   You will work closely with our Centres of Excellence in Remuneration, Talent Acquisition and Organisational Development to drive strategies for 2016. You will partner with executives in the Product & Technology business (Design & Development), which consists of some of the leading tech and creative minds in gaming. You will drive with them a range of activities and programs including: Organisational change management Succession planning Talent retention and acquisition Capability enhancement Incentive scheme design Talent acquisition Leadership coaching and training facilitation Culture and engagement planning EVP creation Other responsibilities: Team management – Las Vegas, Austin, India & Sydney Global business strategy implementation HR project management   Job Requirements:Key Attributes: Ability to build strong relationships and influence leaders Can constructively challenge leadership with an improvement focus Excellent communication skills Highly organised and outcome focused  Experience: 10+ years of experience in Human Resources Experience working in a Centre of Excellence model Relevant tertiary qualification Experience working with technology and/or creative fields   Physical, Mental and Environmental Demands:  Assigned duties are accomplished primarily in an office/production setting. Must be able to maneuver around an office/production setting, work at a desk/work station and respond to written and oral cues.  Must have the manual dexterity to operate a computer and other necessary office/production equipment.  May be required to travel internationally on occasions This position may require registration with the Nevada Gaming Control Board (NGCB) and/or other gaming jurisdictions in which we operate. Click Here To Applyhttps://aristocrat.mua.hrdepartment.com/hr/ats/Posting/view/1231"
Senior Counsel Job in Glenmont,Banking,"Glenmont, NY","  At American National we put our core values of financial strength, integrity, respect, service and teamwork at the heart of everything we do. If you share these values and would like to grow your career at a strong, respected company, here’s an opportunity for you.         Position Description Farm Family, part of American National Insurance Company, is looking for an experienced attorney to join our corporate legal team in Glenmont, New York. The successful candidate will be a professional with excellent communication and analytical skills, the ability to drive results, provide solutions and prioritize multiple projects independently.   Responsibilities include: Consulting on the legal implications of a wide range of business issues, preparing regulatory filings, performing legal and Internet research, initiating and/or participating in both legal and client driven projects to address strategic issues, maintaining current knowledge of relevant legal principles, practices and trends and advising and assisting management on compliance initiatives.   Our Legal team, comprised of 7 attorneys, 3 legal assistants and 1 law clerk, is dedicated to providing the best possible legal and regulatory support to the company. The team offers guidance and expertise to management on a variety of business matters, in addition to representing the legal interests of the company in various dealings with third parties.   Requirements: J.D. and New York State Bar admission  5-8 years legal experience Excellent business judgment and ability to think strategically and provide practical advice Excellent communication skills Insurance, corporate and/or regulatory experience is preferred  Strong research, writing and analytical skills including command of computer-based research tools Excellent computer skills (Internet, Word, Excel and PowerPoint) Strong work ethic and high professional and ethical standards    Application Requirements: To be considered for this position, completion of our online application and submission of resume and law school transcript is required.   Location: Glenmont, NY             American National was started in 1905 in Galveston, TX, and also has offices in League City, TX, Springfield, MO, and Albany, NY. We offer life, accident and health insurance; property/casualty insurance for personal lines, agribusiness and targeted commercial businesses; and retirement, annuities and pension plan products. We’re committed to our employees and clients alike. If you want a long, rewarding career, if you want a chance to be a part of something big and if you want to make a difference in people’s lives, then we want to hear from you."
Hospice Account Executive / Hospice Sales Rep Job in Greenville,Healthcare Services,"Greenville, SC","Job DescriptionI believe that the care we give can make every moment count.Compassionate care, uncompromising service and clinical excellence – that’s how our Hospice improves quality of life in the final stages of life. By delivering palliative care by hospice professionals, our patients can spend their remaining days in comfort and peace. Kindred at Home, a division of Kindred Healthcare Inc., is the nation’s leading provider of comprehensive home health, hospice, and non-medical home care services. Kindred at Home, and its affiliates, including Gentiva, delivers compassionate, high-quality care to patients and clients in their homes or places of residence, including non-medical personal assistance, skilled nursing and rehabilitation and hospice and palliative care. Our caregivers focus on each unique patient to deliver the appropriate care and emotional support to our patients and their families. We believe that every moment matters. We believe in compassionate care. Most of all, we believe in dignity and respect for each patient we serve.As a Hospice Specialist, you will:Call on physicians, hospitals, skilled nursing facilities’ management, discharge planners, and case managers within an assigned territory to promote our hospice services. Build and maintain client relationships. Prepare business plans and maintain target lists. Prioritize accounts in accordance with the market sales plan. Gather and organize account-related information and provide input on key customer opportunities, service line extensions and proposal or contract pricing.Required SkillsQualificationsBachelor's Degree in Marketing, Business, or a health related science (e.g., nursing, pharmacy, etc.) or the equivalent Minimum of two years health care or related industry sales experienceKnowledge of physician, hospital, skilled nursing facility, case management and discharge planning service needsAbility to effectively communicate hospice services with all levels of the healthcare delivery teamStrong Microsoft Office skillsExcellent organizational, interpersonal, presentation and communication skillsFormal sales training highly preferredAbility to travel within assigned territory and to sales meetings Required Experiencekeywords: RN, Registered Nurse, Nurse, nursing, homecare, home care, healthcare, “health care”, “home health”, hospice, oncology, “skilled nursing”, “assisted living”, “senior living”, “independent living”, “durable medical equipment”, “medical devices”, “medical device”, DME, SNF, ALF, ILF, ortho, pharma, pharmaceutical, rehab, “account executive”, “sales executive”, “sales rep”, “sales representative”, salesman, healthcare sales, healthcare sales rep, home care sales, homecare sales, selling, sales manager, sales, medical sales, liaison, clinical liaison, medical, sales liaison, medical sales rep, sales rep, territory rep, account manager, account executive, director of admissions, community liaison, clinical liaison, Girling, Girling Home Health, Girling Hospice, AmHeart Hospice, Asian American Home Health, Asian American Hospice, Girling Healthcare, Harden Home Health, Harden Hospice, Healthfield, Iowa Hospice, Missouri Home Care of Rolla, Omega Hospice, The Home Option, Girling Community Care, Odyssey, Vista Care, VistaCare, Olsten Kimberley Quality Care ~MON~ All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or national origin. Job LocationGreenville, South Carolina, United StatesPosition TypeFull-Time/Regular"
Wellness Nurse - LPN Job in Fort Wayne,Healthcare Services Other/Not Classified,"Fort Wayne, IN 46815","Full-TimeBrookdale Fort Wayne 4730 East State Boulevard Fort Wayne, IN 46815 Job #:053178Openings for Full and Part Time 6A - 2P every other weekend and holidays.Openings for Part Time 2P - 10P and 10P- 6A every other weekend and holidays.Hire on bonus.Brookdale. Bringing new life to senior living.Your responsibilities:* Provide nursing services to residents, while promoting the highest level of well-being, as directed by management* Administer medication and treatments according to health care providers' orders and state regulations* Assist resident care coordinator in creating individualized service plans based on resident needs* Supervise and direct nursing assistants as needed* Monitor resident responses to treatment plans and identify adverse medication interactions, alerting the resident care coordinator of any issues* Update resident records with information regarding nursing care, treatment plans and observationsRequired skills and qualifications:* Current Licensed Practical Nurse (LPN) in the state of practice* One year of nursing experience, preferably in an assisted living environment* Proficiency with computers and Microsoft Office programs* Flexible schedule, including availability to work evenings, weekends and holidays as needed* Must enjoy working with the senior populationIf you're a Brookdale associate, please consider referring someone through the Good People Program!Brookdale is an EOE-(Equal Opportunity Employer) and drug-free workplace.Brookdale offers a number of benefits to full-time associates including, but not limited to: medical, dental, vision, disability, life, paid time off, educational reimbursement. All associates, age 21 and older, are eligible to participate in the 401(k) retirement savings plan."
